geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01355	1.84960047748024	1.31112439784955	0.292756230883584	4.47855334758331	7.51505908250401e-06	0.00157748605200842
AT1G02530	1.73506686761206	1.36232724177915	0.325332984581111	4.18748576487944	2.82061705933768e-05	0.00419911863067782
AT1G03106	310.806711191738	-0.542673246034409	0.145761878053516	-3.72301217081719	0.000196860028334851	0.0144992591395679
AT1G03220	290.926520764365	-0.663103240222486	0.193323216073005	-3.43002384137908	0.000603528217205533	0.0282782607307173
AT1G03400	327.796633426049	-0.313035141597473	0.0846682382438715	-3.6971968248097	0.000217993323639179	0.015055775834945
AT1G03530	55.9513925199456	0.538226553315432	0.123104000598079	4.37212885609366	1.23040866920772e-05	0.00232680255633687
AT1G03760	49.2201476329839	0.414006301523841	0.110400888920712	3.75002688448615	0.00017681561264978	0.0135953718869287
AT1G03770	59.0777717651612	0.648656986732246	0.101030350120579	6.42041709207265	1.35901470299388e-10	2.03764840218175e-07
AT1G03830	53.732724940153	0.277666603505714	0.0744449599538211	3.7298240697282	0.000191613514839784	0.0141625327112743
AT1G04050	24.262785637454	0.534592910521941	0.104494557160917	5.11598809590335	3.1210274473411e-07	0.00013370099417783
AT1G04190	104.533049732457	0.195539379848499	0.0495436349925768	3.94681132859543	7.919891783724e-05	0.00817888644721002
AT1G04220	11.9078378527578	1.02277380447809	0.212067898005993	4.82286010327306	1.41514227757209e-06	0.000466891844962473
AT1G04510	271.353207185579	0.178979549874425	0.0496826113256122	3.60245858860801	0.000315221629355443	0.0193564218051586
AT1G04570	2.94402339912595	0.825681822373282	0.230071565908192	3.5888042884133	0.000332198101136475	0.0199804307763775
AT1G04580	6.13264942618669	0.655190672030098	0.198846586710203	3.29495558797278	0.000984372358807831	0.0378644896364168
AT1G04700	6.57576833307607	0.585826544681294	0.136195815549598	4.30135494484378	1.69756884586459e-05	0.00296947230362864
AT1G04800	558.723767002368	-0.492074450646006	0.140077067365923	-3.51288372821626	0.000443271410075669	0.0229745930096256
AT1G04870	113.903578958442	0.295060622669337	0.0896169492442717	3.29246448531829	0.000993134401095743	0.0380014361832543
AT1G04900	32.8520184931676	0.42089830334505	0.104036831389965	4.04566630607367	5.21745099956628e-05	0.00636741360069161
AT1G04945	25.4890749897542	0.503014072365306	0.142351070543097	3.53361636443062	0.000409915600097246	0.0219503529633706
AT1G05010	3786.2296966256	-0.317435013609894	0.0810101590993859	-3.918459328298	8.91167625446526e-05	0.00864994194725213
AT1G05680	71.7048400305732	1.49386640463436	0.46788675679015	3.19279480120948	0.00140903035678514	0.0455731220636009
AT1G05805	388.661052175423	-0.266306469585146	0.0637206397718224	-4.17928116445103	2.92431962038934e-05	0.00431580506456672
AT1G06327	1.55463561862637	-3.85748910024839	1.21737183486961	-3.16870243729728	0.00153121073465083	0.0478518210405417
AT1G06400	516.952686028966	-0.171238749372621	0.0526665405430294	-3.25137644521604	0.0011484768147184	0.0414221251164156
AT1G06440	8.74364964172239	0.531235488183812	0.15839337141846	3.35389974609695	0.000796812267944645	0.0331862823738612
AT1G06560	65.3235408168771	0.274631437551233	0.0845058446941896	3.24985139838636	0.00115465327005428	0.0414372498499845
AT1G06680	29468.524021359	-0.179657761101104	0.0441371775829211	-4.07044063394354	4.69242981982998e-05	0.00597636075250397
AT1G06720	146.233457860168	0.449741923851568	0.123980844432671	3.62751137814524	0.000286166168011873	0.0182913087615044
AT1G06900	364.522146947075	0.19612313715373	0.054060796800797	3.62782549943545	0.000285818324043909	0.0182913087615044
AT1G07030	79.0197985619156	0.204958112529397	0.0587700911648151	3.48745609317861	0.000487638983807262	0.024435342418825
AT1G07070	50.7424129433547	0.352276525968568	0.100190087231238	3.51608163745296	0.000437966293576331	0.0229011015500049
AT1G07250	250.529560163941	-0.227309299312244	0.060418501157341	-3.76224657940932	0.000168393902649793	0.01309169040934
AT1G07790	183.635604931293	-0.267883258064453	0.0658161057000412	-4.07017788754228	4.69772533068055e-05	0.00597636075250397
AT1G08380	19929.4276226774	-0.196661450816258	0.0518182532354897	-3.79521574998918	0.000147515118869703	0.0119095763853613
AT1G08465	114.300959269218	-0.262788227103763	0.0656324537425574	-4.003937261504	6.22968923310194e-05	0.00691182719562885
AT1G08730	14.7561170171307	0.578692620632213	0.167721034051168	3.45032824240559	0.000559905323541906	0.0268946742482109
AT1G09200	84.2230050178931	-0.575635714030023	0.106706864264049	-5.39455186880571	6.86947814938649e-08	3.69736450855825e-05
AT1G09300	40.1225005003416	0.342287984503639	0.0836314440089614	4.09281447378765	4.26168692597637e-05	0.00559106689144812
AT1G09620	900.265084154622	0.196420486129432	0.0545258393351085	3.60233769025101	0.000315368312960995	0.0193564218051586
AT1G10270	39.6640166320193	0.519689667685785	0.103742698687083	5.00940957062736	5.45972727077666e-07	0.000204652027037273
AT1G10500	560.033930970045	-0.137090843865774	0.0430522431152802	-3.18429038641932	0.00145109363169717	0.0465826632709118
AT1G10730	55.8292481155552	0.305326504359069	0.0781213488419235	3.90836191239976	9.29240345959689e-05	0.00882610140363793
AT1G10940	258.134869138318	-0.389707968080013	0.0888956511388662	-4.3838811357739	1.16583401255102e-05	0.00222472925067804
AT1G11070	109.65778716026	0.703174716179221	0.211211728495304	3.32924085792355	0.000870830603511258	0.0352863142925734
AT1G12520	686.069105035943	0.381020136324265	0.111211891115563	3.42607370940521	0.000612374175834459	0.0283760404524087
AT1G13050	12.5427502258092	0.431150648002426	0.121489096622692	3.54888347998379	0.000386868229222783	0.0214830938371353
AT1G13160	115.184859530319	0.327716531516019	0.0893066837489695	3.66956332671798	0.000242965145848622	0.0163464146682962
AT1G13790	43.6385169086999	0.552998916707687	0.136158478547725	4.06143578134839	4.87718349331518e-05	0.00605780820758456
AT1G13880	171.434679367468	-0.207427086625069	0.0566529946721883	-3.66136137772251	0.000250878592842767	0.0166651662732991
AT1G15310	27.391597125229	0.552034796264115	0.129276079279967	4.27020063834546	1.95297197744994e-05	0.00336023235890587
AT1G15420	67.9864135806278	0.444712937531714	0.112519570443454	3.95231634620575	7.73983265983713e-05	0.0080429122456753
AT1G15440	78.147700487608	0.534474957645387	0.14968541786859	3.57065481231183	0.000356089916383827	0.0208208452223201
AT1G15870	4.48088899237858	1.00979611639782	0.308861993161895	3.26940879342352	0.00107772475511207	0.0401108516570167
AT1G16280	43.5546506527777	0.298289308865302	0.0727893925730774	4.09797771791861	4.16775389137562e-05	0.00553704569201681
AT1G16330	12.9088485455065	1.38889200511239	0.238123478282473	5.83265461738648	5.45524136591863e-09	4.97873789182599e-06
AT1G17170	40.3137840472593	1.60750023124615	0.474478681191328	3.38792931056463	0.000704224116432447	0.0313492127101282
AT1G17190	43.1266353952316	-0.741607204925193	0.177096458623217	-4.18758912905766	2.81933315927565e-05	0.00419911863067782
AT1G18910	15.7178385713303	-0.868859367708919	0.199625718809737	-4.35244202445192	1.34629480041482e-05	0.0025008915181865
